"","Fiscalyear","Ccode","Dcode","RegularADA","SpecialEdADA","ROCPADA","AdultEdADA","K12ADA","K12ADA_C"
"298",2003,19,40725,18149.21,487.26,0,2422.36,18636.47,19528.57
"299",2003,19,64212,20701.19,667.8,1121.89,3292.92,21368.99,22129.32
"300",2003,19,64246,18227.76,1353.93,814.91,781.33,19581.69,20856.84
"301",2003,19,64261,9558.89,193.85,0,42.18,9752.74,9963.94
"302",2003,19,64279,11327.55,239.63,163.95,1352.68,11567.18,11820.47
"303",2003,19,64287,16406.48,366.39,214.14,3887.87,16772.87,17224.87
"304",2003,19,64295,5534.72,185.55,158.9,1914.5,5720.27,5823.7
"305",2003,19,64303,14236.39,376.41,0,1175.3,14612.8,14963.78
"306",2003,19,64311,4757.74,186.17,0,325.95,4943.91,4990.38
"307",2003,19,64329,9510.47,396.64,277.64,32.01,9907.11,10247.33
"308",2003,19,64337,14217.64,455.24,0,834.02,14672.88,15058.9
"309",2003,19,64345,3343.7,97.93,0,0,3441.63,3487.96
"310",2003,19,64352,6298.95,310.93,461.27,1521.24,6609.88,7183.76
"311",2003,19,64378,6677.04,203.23,151.4,1103.97,6880.27,7025.31
"312",2003,19,64394,6291.62,275.22,258.17,506.05,6566.84,6799.49
"313",2003,19,64436,13790.48,534.27,163.39,1986.85,14324.75,14687.19
"314",2003,19,64444,6339.22,153.8,0,536.08,6493.02,6593.97
"315",2003,19,64451,20672.15,879.34,0,2156.13,21551.49,22106.33
"316",2003,19,64469,4286.86,166.32,0,61.78,4453.18,4576.28
"317",2003,19,64477,2459.53,91.38,0,0,2550.91,2571.27
"318",2003,19,64485,8592.53,298.07,0,0,8890.6,9145.23
"319",2003,19,64501,11051.46,320.21,0,0,11371.67,11650.43
"320",2003,19,64519,8869.12,462.14,0,5908.79,9331.26,10253.45
"321",2003,19,64527,11182.9,346.73,357.52,838.25,11529.63,11956.79
"322",2003,19,64535,2989.91,56.98,57.31,0,3046.89,3114.02
"323",2003,19,64550,6261.65,179.36,0,0,6441.01,6593.14
"324",2003,19,64568,27542.43,780.87,0,0,28323.3,29815.22
"325",2003,19,64576,7392.59,169.99,203.25,135.66,7562.58,7801.27
"326",2003,19,64584,61.52,0,0,0,61.52,61.52
"327",2003,19,64592,8960.87,252.45,0,0,9213.32,9314.92
"328",2003,19,64600,1013.7,0.5,0,0,1014.2,1014.2
"329",2003,19,64626,406.4,0,0,0,406.4,411.6
"330",2003,19,64634,16260.02,574.56,422.66,1968.48,16834.58,17223.17
"331",2003,19,64642,2724.25,117,0,0,2841.25,2877.1
"332",2003,19,64659,3958.76,279.78,0,0,4238.54,4306.57
"333",2003,19,64667,14105.1,697.45,0,0,14802.55,15168.33
"334",2003,19,64683,11389.54,313.23,0,0.24,11702.77,11901
"335",2003,19,64691,5842.89,240.37,0,0,6083.26,6126.27
"336",2003,19,64709,6520.09,159.52,0,0,6679.61,6900.95
"337",2003,19,64717,4851.66,187.12,0,0,5038.78,5134.98
"338",2003,19,64725,88826.59,2864.4,852.99,1722.17,91690.99,94347.8
"339",2003,19,64733,636534.3,34611.06,20125.13,67168.63,671145.36,712408.67
"340",2003,19,64758,2185.45,97.62,0,0,2283.07,2409.4
"341",2003,19,64766,3103.2,77.36,0,0,3180.56,3187.43
"342",2003,19,64774,17753.34,336.44,0,981.2,18089.78,19092.47
"343",2003,19,64790,6013.8,132.46,0,833.03,6146.26,6377.07
"344",2003,19,64808,33420.91,706.69,0,5804.2,34127.6,35169.81
"345",2003,19,64816,9614.39,204.58,0,0,9818.97,10183.37
"346",2003,19,64832,6378.48,93.21,0,0,6471.69,6566.32
"347",2003,19,64840,22053.38,737.02,572.5,1677.55,22790.4,23331.69
"348",2003,19,64857,20574.02,865.69,0,0,21439.71,21783.89
"349",2003,19,64865,10959.92,276.98,70.05,34.9,11236.9,11398.12
"350",2003,19,64873,15810.71,386.55,0,1002.93,16197.26,16838.39
"351",2003,19,64881,20734.51,1060.63,0,28.46,21795.14,22723.92
"352",2003,19,64907,31930.8,1499.42,613.79,4748.1,33430.22,34354.61
"353",2003,19,64931,3202.04,84.68,0,0,3286.72,3290.65
"354",2003,19,64964,3142.9,69.99,0,0,3212.89,3253.05
"355",2003,19,64980,11707.37,466.83,0,323.18,12174.2,12555.96
"356",2003,19,64998,9780.84,130.01,0,0,9910.85,10009.11
"357",2003,19,65029,3990.58,97.4,0,0,4087.98,4195.7
"358",2003,19,65037,4314.94,91.1,0,0,4406.04,4582.85
"359",2003,19,65045,5281.47,132.13,0,0,5413.6,5494.56
"360",2003,19,65052,5429.69,105.99,0,113.33,5535.68,5635.65
"361",2003,19,65060,23602.39,848.1,1800.69,2516.33,24450.49,24859.46
"362",2003,19,65078,1238.29,46.53,0,0,1284.82,1380.03
"363",2003,19,65094,8664.06,217.61,152.76,340.59,8881.67,9170.51
"364",2003,19,65102,6853.37,275.58,0,0,7128.95,7194.56
"365",2003,19,65110,6687,224.18,0,0,6911.18,7061.5
"366",2003,19,65128,11116.73,500.58,947.33,1504.12,11617.31,12198.23
"367",2003,19,65136,17574.21,925.95,420.9,281.95,18500.16,19614.65
"368",2003,19,65151,1869.4,68.61,0,0,1938.01,1977.96
"369",2003,19,65169,1886.07,55.34,0,0,1941.41,1971.77
"370",2003,19,73437,29109.78,916.24,719.22,1781.27,30026.02,31474.54
"371",2003,19,73445,22062.2,979.22,1072.73,10948.04,23041.42,23874.3
"372",2003,19,73452,17108.17,684.51,619.74,510.36,17792.68,18442.6
"373",2003,19,73460,14917.25,204.89,1083.8,22.11,15122.14,15407.93
"374",2003,19,75291,5281.48,132.45,0,0,5413.93,5591.91
"375",2003,19,75309,1814.32,70.58,0,0,1884.9,1919.31
"376",2003,19,75333,6148.38,114.78,145.03,0,6263.16,6286.96
"377",2003,19,75341,7340.95,259.76,128.72,1266.33,7600.71,7786.83
