"","Fiscalyear","Ccode","Dcode","state_rev_PP_16","CAExp_PP","CALocalAssist_PP","timetrend","formula_weight","pred_mod1","pred_mod2"
"132",2003,12,"62935",17822.56,2669,11880,0,0.25,18556.999222592,17095.2153865437
"133",2003,12,"62950",7175.01,2669,11880,0,0.10058,6840.79903595036,7277.70802460629
"134",2003,12,"62968",12052.23,2669,11880,0,0.25,19253.617222592,9690.2024870329
"135",2003,12,"62976",8320.89,2669,11880,0,0.1121,7230.89118499407,7709.21526914625
"136",2003,12,"62984",10264.91,2669,11880,0,0.36501,12890.3701463349,10123.9940205141
"137",2003,12,"63008",8546.55,2669,11880,0,0.24202,7604.80142143155,8247.25553420131
"138",2003,12,"63024",7669.4,2669,11880,0,0.18756,7272.39719947662,7858.22435422551
"139",2003,12,"63032",8437.52,2669,11880,0,0.21045,10876.8673133317,7510.43381086575
"140",2003,12,"63040",11012.56,2669,11880,0,0.10714,10343.7557597114,10620.5306120915
"141",2003,12,"63057",8006.68,2669,11880,0,0.13625,8133.0788464008,7888.93234980292
"142",2003,12,"75374",8618.93,2669,11880,0,0.07938,8382.76833111293,8793.29691696747
"143",2003,12,"75382",112687.81,2669,11880,0,0.08616,145415.589658414,99702.4509367906
"144",2003,12,"75515",8314.27,2669,11880,0,0.17356,8284.76833779158,8175.23255815429
"145",2003,13,"63073",7334.36,2669,11880,0,0.2668,7040.38485661411,7339.71114591621
"146",2003,13,"63081",8404.51,2669,11880,0,0.21857,8240.04095310906,8359.95642185693
"147",2003,13,"63099",7551.26,2669,11880,0,0.36452,7618.35721117587,7506.69997963823
"148",2003,13,"63107",7868.23,2669,11880,0,0.2892,8247.76603531026,7890.25274499122
"149",2003,13,"63115",8307.39,2669,11880,0,0.25161,7838.74786668583,8247.48327866651
"150",2003,13,"63123",7243.6,2669,11880,0,0.32091,7181.39398202692,7368.62557999755
"151",2003,13,"63131",7647.11,2669,11880,0,0.40302,7700.9888308099,7295.37529628392
"152",2003,13,"63149",7622.86,2669,11880,0,0.26512,7640.40279321192,7538.54271514084
"153",2003,13,"63164",7282.29,2669,11880,0,0.10986,6831.85976712447,7283.93678986019
"154",2003,13,"63172",7972.87,2669,11880,0,0.04328,7238.06965919647,8027.23151768274
"155",2003,13,"63180",7120.1,2669,11880,0,0.07112,6453.4548527188,7037.84017580651
"156",2003,13,"63198",6968.38,2669,11880,0,0.31524,7791.99001804446,6693.55329368224
"157",2003,13,"63206",9550.52,2669,11880,0,0.12029,8973.93524407987,9584.85143798078
"158",2003,13,"63214",10673.37,2669,11880,0,0.39553,10468.9459648083,10396.3288435587
"159",2003,13,"63222",7751.19,2669,11880,0,0.33498,7952.01826302046,7521.56105405901
"160",2003,13,"63230",7675.65,2669,11880,0,0.38293,8312.13648929179,7299.36552790414
"161",2003,14,"63248",12303.28,2669,11880,0,0.26519,14184.4022125203,11431.1880494815
"162",2003,14,"63271",19699.84,2669,11880,0,0.201,25343.3977066944,18546.2077508079
"163",2003,14,"63289",15435.13,2669,11880,0,0.19617,17975.802774413,14294.3840239601
"164",2003,14,"63297",22238.49,2669,11880,0,0.10606,27201.6284332387,19517.6730589185
"165",2003,14,"63305",7937.69,2669,11880,0,0.07154,8752.32636856932,7355.53459180647
"166",2003,15,"63313",8952.84,2669,11880,0,0.39385,8063.40090140614,8815.7232461856
"167",2003,15,"63321",8587.47,2669,11880,0,0.33939,8462.5676794512,8652.55073220726
"168",2003,15,"63339",8128.32,2669,11880,0,0.30166,7746.67767220997,8245.29472643709
"169",2003,15,"63347",23397.23,2669,11880,0,0.33288,40398.5046837677,31272.6348836743
"170",2003,15,"63354",12015.01,2669,11880,0,0.3375,18749.7743581237,11463.84413006
"171",2003,15,"63362",8520.46,2669,11880,0,0.18476,7893.1644271396,8538.98044527965
"172",2003,15,"63370",7466.17,2669,11880,0,0.40022,8564.04605847285,7890.98624111013
"173",2003,15,"63388",8135.11,2669,11880,0,0.1625,10723.7020870602,8087.61979777538
"174",2003,15,"63404",8643.77,2669,11880,0,0.38461,9102.446552694,8724.16743182591
"175",2003,15,"63412",9474.03,2669,11880,0,0.32784,9256.37449356103,9511.85673654207
"176",2003,15,"63420",9215.79,2669,11880,0,0.3949,8360.14219103251,9384.96965738503
"177",2003,15,"63438",8074.66,2669,11880,0,0.37047,7815.10185239211,8001.7762599938
"178",2003,15,"63446",14730.49,2669,11880,0,0.10352,13005.3396469043,15570.862121204
"179",2003,15,"63461",7677.23,2669,11880,0,0.37894,7655.30358871155,7603.90968929139
"180",2003,15,"63479",7774.33,2669,11880,0,0.08092,7036.93555589837,7785.20926786631
"181",2003,15,"63487",8378.68,2669,11880,0,0.10476,9705.01950322495,8038.30020858978
"182",2003,15,"63503",8089.73,2669,11880,0,0.362,7766.71111607267,8000.17242337935
"183",2003,15,"63529",8902.62,2669,11880,0,0.17496,9098.56272396007,8662.44376422607
"184",2003,15,"63545",9220.35,2669,11880,0,0.23614,8647.53519952383,9093.78708430216
"185",2003,15,"63552",8423.05,2669,11880,0,0.1842,8039.03407267218,8509.35503817181
"186",2003,15,"63560",8631.96,2669,11880,0,0.38902,8312.70196912482,8573.58765169997
"187",2003,15,"63578",8210.71,2669,11880,0,0.36669,8164.97520973711,8855.40175880027
"188",2003,15,"63586",18290.7,2669,11880,0,0.13534,15332.3823953913,14167.7138166383
"189",2003,15,"63594",8364.59,2669,11880,0,0.41891,8780.18001382244,8143.84255740019
"190",2003,15,"63610",6873.84,2669,11880,0,0.15767,6616.143154779,6969.60742105182
"191",2003,15,"63628",12501.35,2669,11880,0,0.30628,11994.162346566,13113.1069634087
"192",2003,15,"63651",23496.82,2669,11880,0,0.01142,27644.6175282475,24788.3045249765
"193",2003,15,"63669",13149.16,2669,11880,0,0.07962,29443.0056258848,13110.4467846632
"194",2003,15,"63677",8555.55,2669,11880,0,0.29221,8037.43806557253,8453.16216547887
"195",2003,15,"63685",7985.76,2669,11880,0,0.05856,7819.97575966414,8040.69244085389
"196",2003,15,"63693",7373.63,2669,11880,0,0.04008,6702.67206223986,7456.15991603063
"197",2003,15,"63719",8095.35,2669,11880,0,0.4124,8422.15501813883,7814.61635609261
"198",2003,15,"63750",7466.33,2669,11880,0,0.05334,7011.47134837875,7717.39976973035
"199",2003,15,"63768",7110.08,2669,11880,0,0.37565,7367.35788121559,7296.25873239138
"200",2003,15,"63776",7850.99,2669,11880,0,0.27856,7669.31830042958,7814.8379576558
"201",2003,15,"63784",9174.9,2669,11880,0,0.271,8560.95101511964,8717.36933482886
"202",2003,15,"63792",9017.54,2669,11880,0,0.25903,8532.03531337891,9236.72712093209
"203",2003,15,"63800",8388.25,2669,11880,0,0.30698,8298.57753965026,8547.06411559298
"204",2003,15,"63818",28163.32,2669,11880,0,0.12211,35125.6371460988,30820.2951923137
"205",2003,15,"63826",8043.77,2669,11880,0,0.08356,7385.43379838752,7974.95190088799
"206",2003,15,"63834",8297.68,2669,11880,0,0.42332,8095.42143025321,8360.6440889932
"207",2003,15,"63842",7883.28,2669,11880,0,0.36788,7569.87733798041,7848.12445718277
"208",2003,15,"63859",10592,2669,11880,0,0.30397,10097.389509388,10702.2947684721
"209",2003,15,"73544",7992.23,2669,11880,0,0.0934,7268.32188402901,8083.00082836112
"210",2003,15,"73742",8247.01,2669,11880,0,0.11077,7615.84121813397,8166.58768674605
"211",2003,15,"73908",9333.43,2669,11880,0,0.33253,9313.09858722555,9348.41821743514
"212",2003,15,"75168",9074.47,2669,11880,0,0.15284,9291.22222249764,9067.17149607935
"213",2003,16,"63875",8050.93,2669,11880,0,0.37719,10514.9711060009,7510.76335890755
"214",2003,16,"63883",7551.57,2669,11880,0,0.12155,7113.08579163152,7910.64495309122
"215",2003,16,"63891",7861.31,2669,11880,0,0.37362,8161.46172127127,7737.52955363023
"216",2003,16,"63917",8008.23,2669,11880,0,0.30068,7512.060801892,7980.11465855417
"217",2003,16,"63925",8232.67,2669,11880,0,0.10652,7931.56033155103,8097.32398319418
"218",2003,16,"63933",7290.54,2669,11880,0,0.07932,7257.92325742004,7480.80524385193
"219",2003,16,"63941",7421.36,2669,11880,0,0.06906,7015.495655928,7671.94065882047
"220",2003,16,"63958",7994.49,2669,11880,0,0.27828,8279.66562319587,7897.05252087203
"221",2003,16,"63966",7673.5,2669,11880,0,0.40169,8391.78186394974,7811.1074539761
"222",2003,16,"63974",7676.91,2669,11880,0,0.23103,7386.55459000877,7724.56255519218
"223",2003,16,"63982",8620.88,2669,11880,0,0.09064,8111.85949415396,8488.59477941546
"224",2003,16,"63990",7405.37,2669,11880,0,0.0715,6934.90198610732,7526.499038397
"225",2003,16,"73932",8161.18,2669,11880,0,0.36501,8322.46814633488,8249.16449510746
"226",2003,17,"64014",8048.11,2669,11880,0,0.26792,7590.14756554895,7915.00149718557
"227",2003,17,"64022",7934.57,2669,11880,0,0.33862,7955.19006705852,8021.37790283913
"228",2003,17,"64030",7185.09,2669,11880,0,0.13324,6951.27081613856,7164.68504830781
"229",2003,17,"64048",7728.38,2669,11880,0,0.33687,7725.57658434792,7881.45517627059
"230",2003,17,"64055",7220.25,2669,11880,0,0.09478,7463.20957896656,7356.91193898699
"231",2003,17,"64063",7280.88,2669,11880,0,0.2941,7428.04838690001,7541.64019925062
"232",2003,17,"64071",9022.3,2669,11880,0,0.31664,9582.199404213,8855.56827441256
"233",2003,18,"64089",10270.17,2669,11880,0,0.19043,11665.500391122,10363.062601126
"234",2003,18,"64105",7063.77,2669,11880,0,0.08504,6674.04294947992,7177.34505508161
"235",2003,18,"64113",7648.87,2669,11880,0,0.10222,7072.23071689064,8014.13655586066
"236",2003,18,"64139",8313.59,2669,11880,0,0.06462,8565.1422026507,8632.33468975232
"237",2003,18,"64162",15245.31,2669,11880,0,0.215,44900.1485683793,11030.26323524
"238",2003,18,"64170",7261.81,2669,11880,0,0.02,6396.57706633731,7350.2687136346
"239",2003,18,"64188",7351.15,2669,11880,0,0.1891,7455.02242426199,7400.88521027338
"240",2003,18,"64196",7266.47,2669,11880,0,0.1128,7007.73737807832,7301.5815675185
"241",2003,18,"64204",11949.72,2669,11880,0,0.14948,11448.6850956932,12260.5144698618
"242",2003,18,"75036",16009.79,2669,11880,0,0.22557,14233.9008839516,15602.2552409424
"243",2003,19,"64212",8446.25,2669,11880,0,0.11756,7853.65889105127,8428.67798345484
"244",2003,19,"64246",8176.66,2669,11880,0,0.18182,8238.68781618573,8189.86319639355
"245",2003,19,"64261",6816.06,2669,11880,0,0.05656,6475.9646365663,6814.2671235867
"246",2003,19,"64279",8462.48,2669,11880,0,0.33421,8241.59865062777,8598.1404603012
