"","year","x","y","Subject_Category","idx_error","Freq","Percent","CumFreq","CumPercent"
"264","12","UC_CSU_Approved","PCT_EL","Computer Education",TRUE,38,2.5,1535,100
"265","12","UC_CSU_Approved","PCT_EL","English Language Arts",FALSE,4299,94.3,4299,94.3
"266","12","UC_CSU_Approved","PCT_EL","English Language Arts",TRUE,259,5.7,4558,100
"267","12","UC_CSU_Approved","PCT_EL","Foreign Languages",FALSE,2249,98.9,2249,98.9
"268","12","UC_CSU_Approved","PCT_EL","Foreign Languages",TRUE,25,1.1,2274,100
"269","12","UC_CSU_Approved","PCT_EL","History/Social Science",FALSE,4162,98.5,4162,98.5
"270","12","UC_CSU_Approved","PCT_EL","History/Social Science",TRUE,62,1.5,4224,100
"271","12","UC_CSU_Approved","PCT_EL","Mathematics",FALSE,4237,98.5,4237,98.5
"272","12","UC_CSU_Approved","PCT_EL","Mathematics",TRUE,63,1.5,4300,100
"273","12","UC_CSU_Approved","PCT_EL","Other Instruction-Related Assignments",FALSE,3965,68.9,3965,68.9
"274","12","UC_CSU_Approved","PCT_EL","Other Instruction-Related Assignments",TRUE,1787,31.1,5752,100
"275","12","UC_CSU_Approved","PCT_EL","PE/Health",FALSE,4044,89.6,4044,89.6
"276","12","UC_CSU_Approved","PCT_EL","PE/Health",TRUE,468,10.4,4512,100
"277","12","UC_CSU_Approved","PCT_EL","Science",FALSE,4159,96.3,4159,96.3
"278","12","UC_CSU_Approved","PCT_EL","Science",TRUE,160,3.7,4319,100
"279","12","UC_CSU_Approved","PCT_EL","Self-Contained Class",FALSE,7072,98.8,7072,98.8
"280","12","UC_CSU_Approved","PCT_EL","Self-Contained Class",TRUE,86,1.2,7158,100
"281","12","UC_CSU_Approved","PCT_EL","Special Designated Subjects",FALSE,533,99.1,533,99.1
"282","12","UC_CSU_Approved","PCT_EL","Special Designated Subjects",TRUE,5,0.9,538,100
"283","12","UC_CSU_Approved","PCT_EL",NA,TRUE,4769,100,4769,100
"284","12","NCLB_Core","PCT_EL","Art, Music, Dance, Drama",FALSE,3575,86.8,3575,86.8
"285","12","NCLB_Core","PCT_EL","Art, Music, Dance, Drama",TRUE,542,13.2,4117,100
"286","12","NCLB_Core","PCT_EL","Career Technical Education/Vocational",FALSE,2298,99.1,2298,99.1
"287","12","NCLB_Core","PCT_EL","Career Technical Education/Vocational",TRUE,21,0.9,2319,100
"288","12","NCLB_Core","PCT_EL","Computer Education",FALSE,1497,97.5,1497,97.5
"289","12","NCLB_Core","PCT_EL","Computer Education",TRUE,38,2.5,1535,100
"290","12","NCLB_Core","PCT_EL","English Language Arts",FALSE,4299,94.3,4299,94.3
"291","12","NCLB_Core","PCT_EL","English Language Arts",TRUE,259,5.7,4558,100
"292","12","NCLB_Core","PCT_EL","Foreign Languages",FALSE,2249,98.9,2249,98.9
"293","12","NCLB_Core","PCT_EL","Foreign Languages",TRUE,25,1.1,2274,100
"294","12","NCLB_Core","PCT_EL","History/Social Science",FALSE,4162,98.5,4162,98.5
"295","12","NCLB_Core","PCT_EL","History/Social Science",TRUE,62,1.5,4224,100
"296","12","NCLB_Core","PCT_EL","Mathematics",FALSE,4237,98.5,4237,98.5
"297","12","NCLB_Core","PCT_EL","Mathematics",TRUE,63,1.5,4300,100
